Bidding Date,Project Title,Fund Source,Participating Bidders,Winning Bidder,Winning Bid Amount,Contract or Purchase Order (Reference No. and Date),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
****Nothing Follows****,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prepared by:,,Checked by:,,Noted by:,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bernadeth B. Chavez,,Armando A. Cantoy,,"Jemilo L. Pelimer, CPA",,,,,,,,,
BAC Secretariat,,BAC Chairman,,General Manager,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
